Player,height,weight,collage,born,birth_city,birth_state,Num_of_Seasons,Num_of_Pos,Avg_Age,Num_of_Tms,Avg_Games,Avg_GS,Avg_MP,Avg_PER,Avg_TS%,Avg_3PAr,Avg_FTr,Avg_ORB%,Avg_DRB%,Avg_TRB%,Avg_AST%,Avg_STL%,Avg_BLK%,Avg_TOV%,Avg_USG%,Avg_OWS,Avg_DWS,Avg_WS,Avg_WS/48,Avg_OBPM,Avg_DBPM,Avg_BMP,Avg_VORP,Avg_FG,Avg_FGA,Avg_FG%,Avg_3P,Avg_3PA,Avg_3P%,Avg_2P,Avg_2PA,Avg_2P%,Avg_eFG%,Avg_FT,Avg_FTA,Avg_FT%,Avg_ORB,Avg_DRB,Avg_TRB,Avg_AST,Avg_STL,Avg_BLK,Avg_TOV,Avg_PF,Avg_PTS
"Duane Ferrell",201,94,"Georgia Institute of Technology",1965,Baltimore,Maryland,7,1,28.00,2,67.14,9.57,1138.14,13.03,0.55,0.05,0.39,7.27,8.07,7.67,8.87,1.81,0.73,13.71,19.24,1.36,0.84,2.21,0.09,-0.76,-0.73,-1.50,0.13,191.14,391.29,0.49,6.00,19.86,0.28,185.14,371.43,0.50,0.49,110.71,145.71,0.75,71.43,75.86,147.29,67.29,38.86,13.14,68.00,116.00,499.00
"Duck Williams",188,81,"University of Notre Dame",1956,Demopolis,Alabama,1,1,23.00,1,77.00,,1794.00,8.60,0.46,0.02,0.12,1.40,5.30,3.50,14.10,2.70,0.30,16.40,15.60,-0.90,0.60,-0.30,-0.01,-3.20,-1.30,-4.40,-1.10,232.00,519.00,0.45,0.00,12.00,0.00,232.00,507.00,0.46,0.45,42.00,60.00,0.70,21.00,85.00,106.00,183.00,100.00,11.00,107.00,166.00,506.00
"Dudley Bradley",198,88,"University of North Carolina",1957,Baltimore,Maryland,8,1,26.80,7,62.70,9.63,1136.20,10.22,0.45,0.24,0.26,2.90,10.11,6.45,15.89,3.87,0.91,16.23,14.14,0.12,1.72,1.84,0.06,-2.22,1.87,-0.34,0.77,135.00,305.90,0.39,13.00,41.60,0.25,122.00,264.30,0.46,0.41,65.20,88.40,0.74,33.50,85.80,119.30,127.40,103.80,22.30,75.60,135.10,348.20
"Dwight Davis",203,99,"University of Houston",1949,Houston,Texas,5,1,25.00,2,68.00,,1602.00,11.62,0.48,,0.40,7.12,16.60,11.92,8.32,1.05,1.30,,,0.48,1.82,2.28,0.07,-1.98,0.00,-2.00,0.30,226.00,533.80,0.43,,,,226.00,533.80,0.43,0.43,135.20,185.20,0.72,100.50,256.50,398.20,105.80,34.75,37.25,,215.20,587.20
"Dwight Howard",211,120,,1985,Atlanta,Georgia,13,2,25.00,4,73.38,73.31,2560.85,21.52,0.60,0.01,0.79,11.89,29.34,20.79,7.52,1.44,4.32,16.98,22.72,4.32,5.05,9.36,0.17,-0.36,2.78,2.42,3.00,460.62,787.46,0.59,0.38,4.31,0.11,460.23,783.15,0.59,0.59,359.31,635.00,0.56,260.92,669.00,929.92,109.69,71.62,147.38,218.08,237.85,1280.92
"Dwight Jones",208,95,"University of Houston",1952,Houston,Texas,10,2,26.36,5,65.79,5.50,1361.71,12.46,0.52,0.00,0.35,9.23,19.64,14.46,7.54,1.16,1.29,18.10,17.97,1.01,1.21,2.19,0.07,-1.76,-0.40,-2.14,0.17,204.57,431.93,0.47,0.13,0.38,0.33,204.50,431.71,0.47,0.47,109.71,149.71,0.72,118.14,252.57,370.71,76.71,34.86,33.00,99.40,175.43,518.93
"Dwight Powell",211,108,"Stanford University",1991,Toronto,Canada,2,2,24.50,1,73.00,2.50,1162.50,17.20,0.57,0.12,0.43,8.50,20.20,14.20,6.65,2.10,2.30,8.60,17.55,2.25,1.60,3.85,0.16,-0.90,1.45,0.55,0.80,170.00,336.50,0.50,11.50,45.00,0.20,158.50,291.50,0.54,0.52,106.00,141.50,0.75,88.50,201.00,289.50,46.50,48.50,31.50,37.00,126.50,457.50
"Dwyane Wade",193,99,"Marquette University",1982,Chicago,Illinois,14,2,28.50,2,65.36,64.57,2310.86,23.94,0.56,0.09,0.43,4.24,11.51,7.97,30.61,2.44,1.92,13.85,31.68,5.25,3.13,8.37,0.17,3.77,0.95,4.72,4.14,552.79,1141.07,0.48,30.79,107.29,0.27,522.00,1033.79,0.50,0.50,386.29,502.93,0.77,81.43,232.64,314.07,369.50,107.14,57.14,215.71,149.00,1522.64
"E'Twaun Moore",208,102,,1986,,,5,1,25.00,3,68.40,13.60,1355.00,11.12,0.51,0.31,0.12,2.32,7.88,5.12,13.44,1.70,1.02,10.72,16.76,0.52,0.96,1.44,0.06,-1.38,-0.80,-2.22,-0.06,192.80,440.20,0.44,52.20,141.60,0.37,140.60,298.60,0.47,0.50,38.00,51.20,0.71,28.20,98.60,126.80,122.80,43.60,18.40,57.80,101.40,475.80
"E.C. Coleman",190,81,,1951,,,5,1,25.00,3,70.20,,1854.20,10.10,0.50,,0.22,7.16,16.18,11.64,7.04,1.52,0.84,16.80,12.30,0.60,1.94,2.54,0.07,-2.58,1.06,-1.48,0.20,219.80,474.20,0.47,,,,219.80,474.20,0.47,0.47,68.80,99.20,0.69,132.00,296.80,428.80,94.20,60.60,28.40,95.00,239.80,508.40
"Earl Barron",213,113,"University of Memphis",1981,Clarksdale,Mississippi,2,1,28.40,5,17.60,5.80,299.80,7.64,0.38,0.01,0.23,11.96,19.80,15.74,7.20,1.10,1.14,13.00,19.84,-0.42,0.22,-0.18,-0.03,-6.00,-0.74,-6.76,-0.40,39.20,105.00,0.34,0.20,2.60,0.08,39.00,102.40,0.34,0.34,18.20,27.00,0.69,26.20,43.80,70.00,10.20,7.00,4.00,16.00,41.20,96.80
"Earl Boykins",165,61,"Eastern Michigan University",1976,Cleveland,Ohio,10,2,28.00,9,50.29,4.07,1055.36,18.09,0.54,0.21,0.26,3.61,4.93,4.26,31.76,1.53,0.18,11.36,21.89,1.81,0.42,2.24,0.13,2.44,-3.44,-0.99,-0.01,170.57,406.21,0.45,34.36,94.86,0.36,136.21,311.36,0.46,0.49,104.57,119.00,0.85,23.21,48.43,71.64,167.79,31.86,2.64,61.21,52.86,480.07
"Earl Clark",208,102,"University of Louisville",1988,Plainfield,"New Jersey",4,2,24.50,6,37.00,8.88,548.25,10.38,0.45,0.20,0.25,6.19,18.64,12.35,4.76,1.01,3.58,10.72,18.46,-0.19,0.67,0.48,0.03,-4.81,0.19,-4.62,-0.24,68.88,170.38,0.39,14.63,44.75,0.20,54.25,125.63,0.42,0.42,21.50,33.38,0.64,29.38,87.75,117.13,17.13,12.25,20.25,25.63,49.75,173.88
"Earl Cureton",206,95,"University of Detroit Mercy",1957,Detroit,Michigan,9,2,27.36,6,66.55,17.70,1287.09,10.78,0.49,0.00,0.30,10.46,17.68,14.04,7.05,1.30,1.72,15.55,14.58,0.22,1.35,1.57,0.06,-2.51,0.94,-1.57,0.23,161.36,339.36,0.47,0.00,1.55,0.00,161.36,337.82,0.47,0.47,55.45,102.64,0.53,126.09,198.18,324.27,72.09,34.00,37.64,72.73,153.91,378.18
"Earl Lloyd*",196,90,"West Virginia State University",1928,,,8,1,27.50,2,69.13,,1809.63,10.39,0.41,,0.32,,,,,,,,,-0.09,2.44,2.34,0.06,,,,,218.75,615.00,0.35,,,,218.75,615.00,0.35,0.35,142.38,190.00,0.75,,,445.25,99.88,,,,259.00,579.88
"Earl Monroe*",190,83,"Winston-Salem State University",1944,Philadelphia,Pennsylvania,13,3,28.73,3,65.93,,2064.87,16.51,0.51,0.00,0.29,2.03,6.70,4.18,17.05,1.51,0.46,10.23,24.00,3.47,1.84,5.33,0.11,1.16,-2.07,-0.94,1.00,479.53,1037.33,0.46,0.00,0.00,,479.53,1037.33,0.46,0.46,254.47,315.80,0.81,37.14,139.43,193.07,249.07,67.57,17.29,101.67,170.33,1213.53
"Earl Tatum",196,83,"Marquette University",1953,"Mount Vernon","New York",3,1,24.29,5,55.71,,1251.29,13.20,0.48,,0.17,3.76,8.87,6.30,11.91,2.33,1.07,12.70,22.52,0.63,1.21,1.84,0.06,-1.49,-0.99,-2.49,0.36,266.14,576.43,0.45,,,,266.14,576.43,0.45,0.45,68.86,90.57,0.76,46.14,107.57,153.71,122.29,74.43,24.29,90.67,144.57,601.14
"Earl Watson",185,88,"University of California, Los Angeles",1979,"Kansas City",Kansas,12,1,27.29,7,66.00,16.93,1493.64,12.34,0.49,0.33,0.24,2.71,9.26,5.96,29.91,2.41,0.69,22.25,16.74,0.45,1.11,1.57,0.05,-0.71,-0.84,-1.56,0.13,166.29,402.64,0.41,43.57,129.71,0.32,122.71,272.93,0.44,0.46,67.00,95.71,0.69,34.36,117.64,152.00,295.14,66.86,13.21,119.07,134.36,443.14
"Earl Williams",201,104,"Winston-Salem State University",1951,Levittown,Pennsylvania,2,1,23.50,2,62.50,,801.00,15.20,0.46,,0.28,16.90,28.90,22.80,8.65,1.50,1.80,,,0.00,1.20,1.15,0.08,-1.70,0.25,-1.45,0.10,118.00,273.00,0.45,,,,118.00,273.00,0.45,0.45,33.50,73.50,0.47,129.50,224.00,353.50,56.50,25.00,26.00,,113.50,269.50
"Ed Conlin",196,90,"Fordham University",1933,,,7,3,25.00,4,62.00,,1483.00,12.61,0.42,,0.31,,,,,,,,,0.26,1.53,1.79,0.05,,,,,243.44,658.89,0.37,,,,243.44,658.89,0.37,0.37,151.56,203.33,0.73,,,304.78,120.11,,,,140.44,638.44
"Ed Davis",208,108,"University of North Carolina",1989,Washington,"District of Columbia",7,3,23.78,5,62.44,13.56,1296.33,16.58,0.57,0.00,0.41,12.02,22.51,17.20,5.94,1.26,3.80,11.74,15.16,2.39,1.58,4.00,0.15,-0.81,1.52,0.71,1.00,180.56,323.33,0.55,0.00,0.11,0.00,180.56,323.22,0.55,0.55,72.33,125.67,0.58,138.67,252.67,391.33,51.33,32.56,59.44,48.89,152.89,433.44
"Ed Fleming",190,85,"Niagara University",1933,,,4,2,23.50,2,66.25,,1443.25,13.70,0.43,,0.45,,,,,,,,,0.62,1.52,2.20,0.07,,,,,200.75,565.50,0.35,,,,200.75,565.50,0.35,0.35,183.50,252.00,0.73,,,361.25,126.50,,,,160.50,585.00
"Ed Kalafat",198,111,"University of Minnesota",1932,,,3,2,23.00,1,69.67,,1452.67,11.30,0.42,,0.50,,,,,,,,,0.23,1.53,1.80,0.06,,,,,163.33,474.00,0.34,,,,163.33,474.00,0.34,0.34,164.67,239.33,0.69,,,394.00,103.33,,,,228.00,491.33
"Ed Macauley*",203,83,"Saint Louis University",1928,"St. Louis",Missouri,7,2,26.00,2,70.29,,2553.57,20.34,0.52,,0.56,,,,,,,,,8.70,1.91,10.60,0.20,,,,,415.71,949.57,0.44,,,,415.71,949.57,0.44,0.44,412.00,536.00,0.77,,,524.14,230.57,,,,174.43,1243.43
"Ed Manning",201,95,"Jackson State University",1944,Summit,Mississippi,4,3,25.67,4,57.83,,798.33,10.07,0.45,,0.20,,,11.50,5.28,,,,,-0.28,0.95,0.63,0.04,,,,,120.33,291.33,0.42,,,,120.33,291.33,0.42,0.42,42.33,59.67,0.70,,,249.33,39.33,,,,119.17,283.00
"Ed Mikan",203,104,"DePaul University",1925,,,2,1,26.75,3,47.50,,908.75,10.07,0.37,,0.31,,,,,,,,,-0.83,0.65,-0.15,-0.02,,,,,89.50,288.75,0.29,,,,89.50,288.75,0.29,0.29,68.50,86.00,0.80,,,241.50,41.25,,,,125.00,247.50
"Ed Nealy",201,107,"Kansas State University",1960,Pittsburg,Kansas,9,1,28.31,6,46.31,6.31,548.69,9.37,0.52,0.15,0.33,8.21,20.25,14.28,6.76,1.72,0.40,13.23,9.26,0.57,0.61,1.22,0.10,-2.13,0.63,-1.49,0.22,43.54,90.15,0.46,3.54,12.23,0.22,40.00,77.92,0.49,0.48,23.85,34.69,0.67,46.46,99.46,145.92,31.00,20.92,4.08,17.54,73.31,114.46
"Ed O'Bannon",203,100,"University of California, Los Angeles",1972,"Los Angeles",California,2,2,23.75,3,48.00,9.75,717.75,8.28,0.39,0.20,0.17,6.12,13.60,9.75,8.32,1.82,0.98,7.98,18.02,-0.22,0.58,0.37,0.00,-4.25,-0.90,-5.15,-0.35,85.50,239.50,0.33,11.50,49.00,0.20,74.00,190.50,0.36,0.35,34.75,44.50,0.85,41.25,74.75,116.00,35.25,25.50,8.75,25.50,72.25,217.25
"Ed Pinckney",206,88,"Villanova University",1963,Bronx,"New York",10,2,27.29,7,65.21,29.29,1356.86,14.94,0.60,0.00,0.56,10.92,17.20,14.06,6.59,1.94,1.64,15.36,14.19,2.26,1.41,3.69,0.13,-0.13,0.79,0.67,0.96,169.43,319.07,0.53,0.00,1.93,0.00,169.43,317.14,0.53,0.53,138.00,179.64,0.77,128.79,210.57,339.36,65.00,53.36,36.64,72.43,131.86,476.86
"Ed Rains",201,86,"University of South Alabama",1956,Ocala,Florida,1,1,25.00,1,49.00,15.00,637.00,8.20,0.47,0.01,0.36,6.20,7.20,6.70,7.70,1.30,0.20,10.90,14.40,0.20,0.40,0.60,0.04,-2.10,-1.00,-3.10,-0.20,77.00,177.00,0.44,0.00,2.00,0.00,77.00,175.00,0.44,0.44,38.00,64.00,0.59,37.00,43.00,80.00,40.00,18.00,2.00,25.00,74.00,192.00
"Ed Ratleff",198,88,"California State University, Long Beach",1950,Bellefontaine,Ohio,5,1,25.00,1,67.60,,1686.60,12.64,0.49,,0.23,5.76,11.16,8.50,13.82,2.28,0.86,16.80,13.60,1.52,1.22,2.74,0.07,-0.92,0.56,-0.36,1.02,232.00,510.80,0.45,,,,232.00,510.80,0.45,0.45,98.60,122.80,0.78,93.00,179.60,272.60,179.20,86.00,28.60,67.00,160.20,562.60
"Ed Sherod",188,77,"Virginia Commonwealth University",1959,Richmond,Virginia,1,1,23.00,1,64.00,37.00,1624.00,11.40,0.43,0.03,0.19,3.10,7.70,5.40,26.60,2.90,0.50,18.60,14.70,-0.20,2.70,2.50,0.07,-1.90,1.70,-0.30,0.70,171.00,421.00,0.41,1.00,13.00,0.08,170.00,408.00,0.42,0.41,52.00,80.00,0.65,43.00,106.00,149.00,311.00,96.00,14.00,104.00,112.00,395.00
"Eddie Gill",183,86,"Weber State University",1978,Aurora,Colorado,1,1,26.00,1,73.00,3.00,1021.00,9.50,0.48,0.48,0.34,1.90,11.00,6.50,13.80,3.20,0.40,17.80,15.80,-0.30,1.40,1.10,0.05,-2.20,0.90,-1.30,0.20,81.00,242.00,0.34,36.00,117.00,0.31,45.00,125.00,0.36,0.41,71.00,81.00,0.88,16.00,96.00,112.00,83.00,59.00,5.00,60.00,105.00,269.00
"Eddie Griffin",208,99,"Seton Hall University",1982,Philadelphia,Pennsylvania,4,2,21.00,2,72.50,29.25,1659.25,14.32,0.45,0.33,0.15,8.90,21.38,15.25,5.78,0.82,5.72,8.65,18.10,0.45,2.33,2.75,0.08,-2.33,1.42,-0.92,0.45,211.75,559.00,0.38,59.25,187.75,0.30,152.50,371.25,0.41,0.43,55.50,83.00,0.67,122.50,307.25,429.75,58.00,26.25,127.75,55.25,124.50,538.25
"Eddie House",185,81,"Arizona State University",1978,Berkeley,California,11,3,27.31,10,53.31,2.38,907.06,13.10,0.50,0.39,0.09,1.48,9.38,5.46,15.66,2.10,0.35,9.00,21.37,0.46,0.97,1.43,0.07,-0.28,-1.71,-1.98,0.09,151.00,368.63,0.41,58.75,151.25,0.40,92.25,217.38,0.41,0.48,28.38,33.06,0.86,12.06,76.38,88.44,80.81,34.63,4.44,40.69,67.06,389.13
"Eddie Hughes",178,74,"Colorado State University",1960,Greenville,Mississippi,1,1,29.00,1,60.00,7.00,892.00,8.30,0.48,0.24,0.17,1.70,6.90,4.10,15.40,2.50,0.10,15.20,11.20,0.10,0.90,1.00,0.06,-2.80,0.20,-2.50,-0.10,83.00,202.00,0.41,20.00,49.00,0.41,63.00,153.00,0.41,0.46,23.00,34.00,0.68,15.00,55.00,70.00,116.00,48.00,1.00,39.00,87.00,209.00
"Eddie Johnson",203,92,"Tennessee State University",1944,Atlanta,Georgia,20,2,29.25,10,64.84,26.75,1782.38,15.36,0.53,0.13,0.25,4.51,9.13,6.85,17.63,1.27,0.26,12.38,24.34,2.44,1.17,3.61,0.09,0.81,-2.16,-1.34,0.56,397.59,840.28,0.47,26.10,77.77,0.31,373.13,767.38,0.48,0.49,175.34,213.63,0.81,75.63,139.44,215.06,202.53,49.72,8.81,128.44,157.97,995.00
"Eddie Jones",208,102,"University of Nevada, Reno",1956,"Fort Rucker",Alabama,14,3,29.83,6,59.33,55.17,2014.06,15.90,0.55,0.39,0.29,2.76,10.74,6.82,14.27,2.63,1.29,10.57,19.01,3.49,2.61,6.09,0.13,2.09,0.88,2.97,2.72,298.33,683.50,0.43,92.89,250.61,0.36,205.44,432.89,0.48,0.50,167.56,207.78,0.79,46.78,188.83,235.61,172.61,100.72,36.00,91.50,151.94,857.11
"Eddie Jordan",185,77,"Rutgers University",1955,Washington,"District of Columbia",5,1,24.78,4,57.33,0.00,1155.89,12.98,0.47,0.07,0.32,2.36,6.58,4.48,24.03,4.08,0.51,20.08,19.81,-0.30,1.64,1.34,0.05,-2.04,0.31,-1.77,0.30,184.11,440.56,0.41,5.00,20.20,0.24,181.33,429.33,0.42,0.41,99.22,130.44,0.75,30.00,76.89,106.89,209.89,103.78,13.56,118.44,118.11,470.22
"Eddie Lee",190,88,,1962,,,4,1,25.75,1,68.00,4.75,785.25,10.02,0.50,0.01,0.45,12.40,18.30,15.32,2.42,1.03,1.10,16.27,20.18,-0.25,0.80,0.55,0.03,-4.47,-2.58,-7.02,-0.95,121.25,260.75,0.47,0.00,1.50,0.00,121.25,259.25,0.47,0.47,66.75,117.50,0.57,85.25,128.50,213.75,13.50,16.50,14.25,60.75,127.00,309.25
"Eddie Miles",193,88,"Seattle University",1940,"North Little Rock",Arkansas,8,2,27.00,3,61.00,,1677.80,12.74,0.50,,0.30,,,4.80,10.59,,,,,1.43,1.11,2.55,0.07,,,,,351.60,798.20,0.46,,,,351.60,798.20,0.46,0.46,163.50,218.90,0.73,,,202.10,129.40,,,,144.60,866.70
"Eddie Miller",203,102,"Syracuse University",1931,,,2,1,21.25,3,53.00,,1423.25,15.50,0.40,,0.39,,,,,,,,,0.70,0.60,1.33,0.02,,,,,197.50,540.50,0.35,,,,197.50,540.50,0.35,0.35,151.25,222.75,0.64,,,468.75,81.25,,,,173.50,546.25
"Eddie Robinson",203,95,"University of Central Oklahoma",1976,Flint,Michigan,5,1,25.00,2,55.60,9.60,1069.00,13.86,0.53,0.02,0.18,4.92,10.84,7.88,8.62,2.06,1.26,10.78,17.68,0.98,1.04,2.04,0.08,-1.70,-0.24,-1.92,0.12,170.40,336.20,0.50,1.60,6.40,0.26,168.80,329.80,0.51,0.50,45.20,61.20,0.73,48.20,104.60,152.80,50.40,43.20,18.20,43.00,69.00,387.60
"Eddy Curry",213,133,,1982,Harvey,Illinois,7,2,22.00,2,71.57,58.57,1846.71,16.00,0.58,0.00,0.54,8.46,15.70,12.04,4.14,0.63,2.37,16.13,23.89,1.80,1.36,3.19,0.08,-1.74,-1.70,-3.46,-0.61,364.57,668.14,0.54,0.29,0.29,1.00,364.29,667.86,0.54,0.54,234.86,365.14,0.65,133.86,250.71,384.57,40.86,22.14,54.43,163.71,217.14,964.29
"Edgar Jones",208,102,"University of Nevada, Reno",1956,"Fort Rucker",Alabama,6,1,26.70,5,48.40,13.78,938.70,14.29,0.56,0.02,0.51,8.46,18.40,13.42,6.12,1.34,3.30,16.83,19.42,0.83,1.10,1.93,0.10,-1.68,0.49,-1.19,0.29,157.40,313.80,0.50,1.80,7.40,0.17,155.60,306.40,0.51,0.50,111.00,156.10,0.72,74.80,161.60,236.40,44.90,28.20,59.20,77.00,155.40,427.60
"Eduardo Najera",203,108,"University of Oklahoma",1976,Meoqui,Mexico,8,2,29.25,5,51.08,7.50,974.25,11.31,0.52,0.16,0.29,8.67,13.97,11.29,6.81,2.01,1.52,12.95,13.41,1.09,1.07,2.13,0.09,-1.32,0.93,-0.41,0.54,105.83,221.00,0.47,9.17,29.00,0.23,96.67,192.00,0.50,0.49,48.00,70.08,0.66,79.17,121.58,200.75,42.42,38.33,20.58,36.08,119.17,268.83
"Ekpe Udoh",208,108,"Baylor University",1987,Edmond,Oklahoma,4,2,24.33,3,49.67,10.50,954.33,11.27,0.48,0.00,0.37,8.70,12.92,10.77,5.97,1.42,5.58,14.35,13.07,0.40,0.83,1.25,0.06,-3.18,2.42,-0.80,0.27,87.50,204.00,0.43,0.00,0.83,0.00,87.50,203.17,0.43,0.43,55.50,76.33,0.72,75.67,105.67,181.33,38.00,26.00,69.83,39.17,121.17,230.50
"Elden Campbell",211,97,"Clemson University",1968,"Los Angeles",California,14,2,30.65,7,56.85,35.30,1405.70,13.93,0.48,0.00,0.46,8.42,18.87,13.68,7.86,1.40,3.66,12.25,20.19,1.35,2.06,3.39,0.09,-2.97,1.15,-1.81,0.57,219.20,479.75,0.41,0.10,2.05,0.05,219.10,477.70,0.41,0.41,148.50,212.15,0.70,102.05,232.50,334.55,66.40,38.55,84.15,75.50,164.00,587.00
"Eldridge Recasner",190,86,"University of Washington",1967,"New Orleans",Louisiana,4,2,29.50,3,59.25,11.75,1161.00,11.98,0.55,0.40,0.18,3.12,8.80,6.05,17.45,1.35,0.18,16.65,17.20,1.35,0.87,2.20,0.09,-0.13,-1.75,-1.90,0.08,146.25,336.25,0.44,56.25,134.75,0.41,90.00,201.50,0.44,0.52,54.00,60.50,0.89,29.50,90.00,119.50,118.00,29.75,2.75,68.75,92.00,402.75
"Elfrid Payton",193,83,"University of Louisiana at Lafayette",1994,Gretna,Louisiana,3,1,21.00,1,79.00,63.33,2348.67,14.97,0.48,0.12,0.26,4.20,11.53,7.77,33.70,2.27,0.93,17.70,20.10,0.97,2.00,2.97,0.06,-0.57,0.17,-0.37,0.97,349.67,783.33,0.44,27.00,93.33,0.29,322.67,690.00,0.47,0.46,125.33,205.00,0.61,91.00,241.33,332.33,510.00,106.33,26.67,186.00,176.33,851.67
"Elgin Baylor*",196,102,"Seattle University",1934,Washington,"District of Columbia",12,1,29.50,2,69.58,,2797.25,22.61,0.49,,0.37,,,,16.27,,,,,5.28,3.35,8.63,0.15,,,,,720.25,1671.25,0.43,,,,720.25,1671.25,0.43,0.43,478.08,613.17,0.78,,,949.58,302.50,,,,214.17,1918.58
"Elijah Millsap",198,102,"University of Alabama at Birmingham",1987,Grambling,Louisiana,1,1,27.00,1,47.00,5.00,924.00,7.90,0.45,0.38,0.36,3.50,15.20,9.40,9.70,3.20,1.40,19.50,17.00,-1.00,1.40,0.40,0.02,-3.50,1.90,-1.60,0.10,81.00,238.00,0.34,28.00,90.00,0.31,53.00,148.00,0.36,0.40,58.00,86.00,0.67,28.00,122.00,150.00,58.00,56.00,16.00,67.00,124.00,248.00
"Elliot Perry",183,68,"University of Memphis",1969,Memphis,Tennessee,8,1,27.29,7,46.71,9.29,731.93,12.67,0.49,0.12,0.20,2.50,8.43,5.44,27.49,3.51,0.18,22.55,19.29,0.36,0.64,1.00,0.03,-2.51,-0.61,-3.09,-0.04,104.21,228.14,0.44,10.71,29.79,0.31,93.50,198.36,0.45,0.46,45.43,58.57,0.71,14.50,43.93,58.43,126.50,44.43,1.64,60.86,53.93,264.57
"Elliot Williams",196,86,"University of Memphis",1989,Memphis,Tennessee,1,1,24.00,1,67.00,2.00,1157.00,8.70,0.52,0.37,0.35,2.70,9.70,6.10,9.40,1.50,0.20,14.90,16.70,0.00,0.30,0.30,0.01,-3.20,-2.60,-5.70,-1.10,140.00,337.00,0.41,37.00,125.00,0.30,103.00,212.00,0.49,0.47,87.00,119.00,0.73,30.00,100.00,130.00,72.00,35.00,3.00,68.00,126.00,404.00
"Elmore Smith",213,113,"Kentucky State University",1949,Macon,Georgia,7,1,25.44,5,67.56,,2112.33,16.07,0.50,,0.35,7.91,23.71,16.06,5.70,1.20,5.09,13.00,21.60,1.49,2.67,4.13,0.10,-2.23,1.83,-0.43,1.00,371.22,772.78,0.48,,,,371.22,772.78,0.48,0.48,144.67,251.78,0.57,145.86,449.14,699.44,93.11,50.43,187.29,141.00,232.00,887.11
"Elmore Spencer",213,122,"University of Nevada, Las Vegas",1969,Atlanta,Georgia,1,1,24.00,1,76.00,63.00,1930.00,10.70,0.55,0.00,0.30,5.30,17.40,11.40,5.60,0.70,4.00,21.60,16.70,-1.00,1.60,0.60,0.02,-4.30,0.90,-3.40,-0.70,288.00,540.00,0.53,0.00,2.00,0.00,288.00,538.00,0.54,0.53,97.00,162.00,0.60,96.00,319.00,415.00,75.00,30.00,127.00,168.00,208.00,673.00
"Elston Turner",196,86,"University of Mississippi",1959,Knoxville,Tennessee,7,2,25.14,3,69.71,13.86,1272.57,9.61,0.45,0.02,0.17,6.57,10.44,8.44,13.03,2.27,0.19,14.77,13.60,0.14,1.11,1.24,0.04,-2.16,0.41,-1.77,0.14,148.71,342.71,0.43,1.00,6.57,0.19,147.71,336.14,0.43,0.43,41.57,58.14,0.72,78.29,116.71,195.00,129.29,62.00,3.86,63.57,129.29,340.00
"Elton Brand",203,124,"Duke University",1979,"Cortlandt Manor","New York",14,2,26.93,5,71.21,61.21,2423.21,19.82,0.54,0.00,0.35,10.82,19.27,15.06,11.09,1.43,3.98,11.84,22.34,4.70,3.04,7.74,0.14,0.86,1.83,2.71,3.23,462.43,921.71,0.50,0.14,1.36,0.11,462.29,920.36,0.50,0.50,255.00,346.43,0.73,231.86,397.64,629.50,152.00,65.07,127.14,143.86,214.86,1180.00
"Elvin Hayes*",206,106,"University of Houston",1945,Rayville,Louisiana,16,2,30.50,5,81.44,43.00,3125.00,17.29,0.49,0.01,0.33,8.83,21.75,15.44,7.14,1.19,2.75,13.10,22.41,2.32,5.24,7.55,0.11,-0.73,1.13,0.37,2.12,686.00,1517.00,0.45,1.00,6.80,0.15,685.69,1514.88,0.45,0.45,334.75,499.94,0.67,252.55,633.91,1017.44,149.88,78.55,161.00,194.00,262.06,1707.06
"Em Bryant",185,79,"DePaul University",1938,Chicago,Illinois,8,1,29.50,3,70.75,,1431.38,9.93,0.45,,0.31,,,5.30,19.31,,,,,0.01,1.06,1.09,0.04,,,,,187.63,458.13,0.41,,,,187.63,458.13,0.41,0.41,90.00,130.38,0.68,,,199.13,212.50,,,,216.13,465.25
"Emanual Davis",193,88,"Delaware State University",1968,Philadelphia,Pennsylvania,4,2,31.25,3,47.25,15.25,841.00,9.43,0.50,0.45,0.17,2.40,10.00,6.20,15.03,2.18,0.52,19.75,15.85,0.02,0.55,0.57,0.03,-1.85,-0.78,-2.62,0.00,86.50,219.50,0.40,34.25,96.75,0.35,52.25,122.75,0.43,0.47,29.50,37.00,0.81,18.00,75.75,93.75,83.50,36.50,6.25,56.25,74.00,236.75
"Emeka Okafor",208,114,"University of Connecticut",1982,Houston,Texas,9,2,26.00,3,65.56,64.89,2078.00,16.68,0.53,0.00,0.40,11.69,24.76,18.11,4.89,1.14,4.03,12.69,18.99,1.88,3.02,4.92,0.11,-2.03,1.51,-0.50,0.84,328.44,641.33,0.51,0.00,0.22,0.00,328.44,641.11,0.51,0.51,149.33,255.89,0.58,211.89,437.78,649.67,56.89,45.11,108.67,107.89,185.11,806.22
"Enes Kanter",211,111,,1992,Zurich,Switzerland,6,1,21.63,3,65.00,23.50,1451.75,19.76,0.57,0.03,0.31,14.48,21.18,17.82,4.85,0.94,1.60,13.72,23.43,2.75,1.35,4.11,0.14,-0.25,-2.09,-2.32,-0.16,315.25,597.50,0.53,6.00,19.00,0.38,309.25,578.50,0.53,0.53,137.75,178.75,0.77,182.75,275.75,458.50,40.50,25.50,28.25,103.38,141.38,774.25
